127.0.0.1, 2014-02-17 23:12:25, GET, /topolab/static/js/share.js, HTTP/1.1, 304, 0.000614
127.0.0.1, 2014-02-17 23:12:25, GET, /topolab/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001621
127.0.0.1, 2014-02-17 23:12:25, GET, /topolab/static/images/twitter.png, HTTP/1.1, 304, 0.000562
127.0.0.1, 2014-02-17 23:12:25, GET, /topolab/static/images/gplus-32.png, HTTP/1.1, 304, 0.000602
127.0.0.1, 2014-02-17 23:12:25, GET, /topolab/static/images/facebook.png, HTTP/1.1, 304, 0.000691
127.0.0.1, 2014-02-17 23:17:25, GET, /welcome/default/index, HTTP/1.1, 200, 0.024107
127.0.0.1, 2014-02-17 23:17:35, GET, /topolab/hasse/prueba, HTTP/1.1, 200, 0.042767
127.0.0.1, 2014-02-17 23:17:35, GET, /topolab/static/js/web2py.js, HTTP/1.1, 304, 0.000503
127.0.0.1, 2014-02-17 23:17:35, GET, /topolab/static/js/calendar.js, HTTP/1.1, 304, 0.000617
127.0.0.1, 2014-02-17 23:17:35, GET, /topolab/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000597
127.0.0.1, 2014-02-17 23:17:35, GET, /topolab/static/css/calendar.css, HTTP/1.1, 304, 0.000573
127.0.0.1, 2014-02-17 23:17:35, GET, /topolab/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000508
127.0.0.1, 2014-02-17 23:17:35, GET, /topolab/static/js/jquery.js, HTTP/1.1, 304, 0.000672
127.0.0.1, 2014-02-17 23:17:35, GET, /topolab/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.004075
127.0.0.1, 2014-02-17 23:17:35, GET, /topolab/static/css/web2py.css, HTTP/1.1, 304, 0.000513
127.0.0.1, 2014-02-17 23:17:35, GET, /topolab/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.012729
127.0.0.1, 2014-02-17 23:17:35, GET, /topolab/static/js/share.js, HTTP/1.1, 304, 0.001202
127.0.0.1, 2014-02-17 23:17:35, GET, /topolab/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000881
127.0.0.1, 2014-02-17 23:17:35, GET, /topolab/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002148
127.0.0.1, 2014-02-17 23:17:35, GET, /topolab/static/images/facebook.png, HTTP/1.1, 304, 0.001344
127.0.0.1, 2014-02-17 23:17:35, GET, /topolab/static/images/gplus-32.png, HTTP/1.1, 304, 0.000878
127.0.0.1, 2014-02-17 23:17:35, GET, /topolab/static/images/twitter.png, HTTP/1.1, 304, 0.001857
127.0.0.1, 2014-02-17 23:17:35, GET, /topolab/static/images/favicon.ico, HTTP/1.1, 200, 0.000632
127.0.0.1, 2014-02-17 23:17:37, GET, /topolab/hasse/prueba, HTTP/1.1, 200, 0.063182
127.0.0.1, 2014-02-17 23:17:37, GET, /topolab/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000510
